"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","3","34","Possible God Class (WMC=217, ATFD=253, TCC=0.761%)","Design","GodClass"
"2","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","3","274","Avoid catching RuntimeException in try-catch block","Error Prone","AvoidCatchingGenericException"
"3","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","3","339","Avoid catching RuntimeException in try-catch block","Error Prone","AvoidCatchingGenericException"
"4","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","3","378","Avoid catching RuntimeException in try-catch block","Error Prone","AvoidCatchingGenericException"
"5","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","3","410","Avoid catching RuntimeException in try-catch block","Error Prone","AvoidCatchingGenericException"
"6","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","3","646","Access to field `Encrypted` on foreign value `AttrSchemaType` (degree 1)","Design","LawOfDemeter"
"7","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","3","679","Avoid catching RuntimeException in try-catch block","Error Prone","AvoidCatchingGenericException"
"8","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","3","837","Avoid using literals such as 'username' in if statements","Error Prone","AvoidLiteralsInIfCondition"
"9","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","3","847","Avoid using literals such as 'suspended' in if statements","Error Prone","AvoidLiteralsInIfCondition"
"10","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","3","897","Avoid catching RuntimeException in try-catch block","Error Prone","AvoidCatchingGenericException"
"11","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","3","1140","Access to field `String` on foreign value `AttrSchemaType` (degree 1)","Design","LawOfDemeter"
"12","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","3","1141","Access to field `Binary` on foreign value `AttrSchemaType` (degree 1)","Design","LawOfDemeter"
