"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"34","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","2","1036","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"35","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","3","1040","Access to field `anyObjectDAO` on foreign value `manager` (degree 1)","Design","LawOfDemeter"
"36","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","3","1235","Access to field `derAttrHandler` on foreign value `manager` (degree 1)","Design","LawOfDemeter"
"37","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","3","1238","Access to field `derAttrHandler` on foreign value `manager` (degree 1)","Design","LawOfDemeter"
"38","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","3","1240","Access to field `derAttrHandler` on foreign value `manager` (degree 1)","Design","LawOfDemeter"
"39","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","2","1274","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"40","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","3","1313","Access to field `derAttrHandler` on foreign value `manager` (degree 1)","Design","LawOfDemeter"
"41","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","3","1350","Possible God Class (WMC=59, ATFD=61, TCC=0.000%)","Design","GodClass"
"42","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","3","1365","Access to field `intAttrNameParser` on foreign value `manager` (degree 1)","Design","LawOfDemeter"
"43","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","2","1368","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"44","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","3","1493","Access to field `groupDAO` on foreign value `manager` (degree 1)","Design","LawOfDemeter"
"45","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","3","1503","Access to field `String` on foreign value `AttrSchemaType` (degree 1)","Design","LawOfDemeter"
"46","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","3","1506","Access to field `Binary` on foreign value `AttrSchemaType` (degree 1)","Design","LawOfDemeter"
"47","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","3","1562","Access to field `intAttrNameParser` on foreign value `manager` (degree 1)","Design","LawOfDemeter"
"48","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","2","1564","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"49","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","3","1598","Access to field `realmSearchDAO` on foreign value `manager` (degree 1)","Design","LawOfDemeter"
"50","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","3","1643","A method/constructor should not explicitly throw java.lang.Exception","Design","SignatureDeclareThrowsException"
