"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"26","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","2","763","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"27","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","3","826","The method 'resolve(DefaultMappingManager, IntAttrName, Any)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"28","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","3","843","Access to field `userDAO` on foreign value `owner` (degree 1)","Design","LawOfDemeter"
"29","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","3","848","Access to field `groupDAO` on foreign value `owner` (degree 1)","Design","LawOfDemeter"
"30","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","3","853","Access to field `anyObjectDAO` on foreign value `owner` (degree 1)","Design","LawOfDemeter"
"31","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","3","855","Access to field `groupDAO` on foreign value `owner` (degree 1)","Design","LawOfDemeter"
"32","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","3","871","Access to field `relationshipTypeDAO` on foreign value `owner` (degree 1)","Design","LawOfDemeter"
"33","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","2","873","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"34","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","3","878","Access to field `anyObjectDAO` on foreign value `owner` (degree 1)","Design","LawOfDemeter"
"35","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","2","902","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"36","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","2","906","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"37","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","3","1051","Avoid catching RuntimeException in try-catch block","Error Prone","AvoidCatchingGenericException"
"38","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","2","1052","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"39","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","3","1135","Access to field `derAttrHandler` on foreign value `owner` (degree 1)","Design","LawOfDemeter"
"40","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","3","1137","Access to field `derAttrHandler` on foreign value `owner` (degree 1)","Design","LawOfDemeter"
"41","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","3","1138","Access to field `derAttrHandler` on foreign value `owner` (degree 1)","Design","LawOfDemeter"
"42","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","2","1204","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"43","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","3","1278","Access to field `derAttrHandler` on foreign value `owner` (degree 1)","Design","LawOfDemeter"
"44","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","3","1345","Access to field `intAttrNameParser` on foreign value `owner` (degree 1)","Design","LawOfDemeter"
"45","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","2","1348","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"46","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","3","1440","Access to field `groupDAO` on foreign value `owner` (degree 1)","Design","LawOfDemeter"
"47","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","3","1488","Access to field `String` on foreign value `AttrSchemaType` (degree 1)","Design","LawOfDemeter"
"48","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","3","1492","Access to field `Binary` on foreign value `AttrSchemaType` (degree 1)","Design","LawOfDemeter"
"49","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","3","1523","Access to field `intAttrNameParser` on foreign value `owner` (degree 1)","Design","LawOfDemeter"
"50","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","2","1525","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"51","org.apache.syncope.core.provisioning.java","C:\Users\micci\PycharmProjects\syncope\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultMappingManager.java","3","1566","Access to field `realmSearchDAO` on foreign value `owner` (degree 1)","Design","LawOfDemeter"
